rule_name;rule_type;surface;breakability_u200b;score;description;expression;defined_in;defined_at_line
ACCESSDB;header;other;unknown;0;Message would have been caught by accessdb;eval:check_access_database('/etc/mail/access.db');/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_accessdb.cf;31
ACT_NOW_CAPS;body;body;likely;0.1;Talks about 'acting now' with capitals;/\bA(?i:ct) N(?i:ow)\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;158
AC_BR_BONANZA;rawbody;body;likely;0.001 0.001 0.001 0.001;Too many newlines in a row... spammy template;/(?:<br>\s*){30}/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;37
AC_DIV_BONANZA;rawbody;body;likely;0.001 0.001 0.001 0.001;Too many divs in a row... spammy template;/(?:<div>(?:\s*<\/div>)?\s*){10}/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;45
AC_HTML_NONSENSE_TAGS;rawbody;body;likely;1.000 1.000 1.000 1.000;Many consecutive multi-letter HTML tags, likely nonsense/spam;/(?:<[A-Za-z0-9]{4,}>\s*){10}/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;61
AD_PREFS;body;body;likely;0.250;Advertising preferences;/(?:\b|_)(?:ad(?:vert[i1l]s[i1l]ng)?|promo(?:tion)?|marketing)[- _](?:pref(?:s|erences)|settings)(?:\b|_)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;280
ALL_TRUSTED;header;other;unknown;-1.000;Passed through trusted hosts only via SMTP;eval:check_all_trusted();/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_compensate.cf;40
APOSTROPHE_FROM;header;other;unlikely;0.148 0.786 0.651 0.545 # n=2;From address contains an apostrophe;From:addr =~ /'/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;304
ARC_SIGNED;full;body;likely;0.001 0.001 0.001 0.001;Message has a ARC signature;eval:check_arc_signed();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_arc.cf;30
ARC_TRUSTED;full;body;likely;0.001 0.001 0.001 0.001;Message has valid ARC chain from trusted sealer;eval:check_arc_trusted();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_arc.cf;43
ARC_VALID;full;body;likely;0.001 0.001 0.001 0.001;Message has a valid ARC signature;eval:check_arc_valid();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_arc.cf;35
AWL;header;other;unknown;;Adjusted score from AWL reputation of From: address;eval:check_from_in_auto_whitelist();/var/lib/spamassassin/4.000001/updates_spamassassin_org/60_awl.cf;30
BAD_CREDIT;body;body;likely;0.1;Eliminate Bad Credit;/\b(?:(?:bad|poor|eliminate|repair|(?:re)?establish|damag).{0,10} (?:credit|debt)|no credit (?:check|histor|need))/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;111
BAD_ENC_HEADER;header;other;unknown;0.001;Message has bad MIME encoding in the header;ALL:raw =~ /=\?[^?\s]+\?[^?\s]\?\s*[^?]+\s(?!\?=)/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;423
BANG_GUAR;body;body;likely;1.0;Something is emphatically guaranteed;/\bguaranteed?\!/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;165
BANG_OPRAH;body;body;likely;0 # n=0 n=1 n=2 n=3;Talks about Oprah with an exclamation!;/\boprah!/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;154
BANKING_LAWS;body;body;likely;2.399 2.004 2.157 1.099 # n=2;Talks about banking laws;/banking laws/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;336
BASE64_LENGTH_78_79;body;body;unlikely;0.1;;eval:check_base64_length('78','79');/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;343
BASE64_LENGTH_79_INF;body;body;unlikely;1.379 2.019 0.583 1.502 # n=2;base64 encoded email part uses line length greater than 79 characters;eval:check_base64_length('79');/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;351
BAYES_00;body;body;likely;0  0 -1.5   -1.9;Bayes spam probability is 0 to 1%;eval:check_bayes('0.00', '0.01');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;32
BAYES_05;body;body;likely;0  0 -0.3   -0.5;Bayes spam probability is 1 to 5%;eval:check_bayes('0.01', '0.05');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;33
BAYES_20;body;body;likely;0  0 -0.001 -0.001;Bayes spam probability is 5 to 20%;eval:check_bayes('0.05', '0.20');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;34
BAYES_40;body;body;likely;0  0 -0.001 -0.001;Bayes spam probability is 20 to 40%;eval:check_bayes('0.20', '0.40');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;35
BAYES_50;body;body;likely;0  0  2.0    0.8;Bayes spam probability is 40 to 60%;eval:check_bayes('0.40', '0.60');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;39
BAYES_60;body;body;likely;0  0  2.5    1.5;Bayes spam probability is 60 to 80%;eval:check_bayes('0.60', '0.80');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;41
BAYES_80;body;body;likely;0  0  2.7    2.0;Bayes spam probability is 80 to 95%;eval:check_bayes('0.80', '0.95');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;42
BAYES_95;body;body;likely;0  0  3.2    3.0;Bayes spam probability is 95 to 99%;eval:check_bayes('0.95', '0.99');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;43
BAYES_99;body;body;likely;0  0  3.8    3.5;Bayes spam probability is 99 to 100%;eval:check_bayes('0.99', '1.00');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;44
BAYES_999;body;body;likely;0  0  0.2    0.2;Bayes spam probability is 99.9 to 100%;eval:check_bayes('0.999', '1.00');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;47
BILLION_DOLLARS;body;body;likely;0.001 1.451 1.229 1.638;Talks about lots of money;/[BM]ILLION DOLLAR/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;49
BILL_1618;body;body;likely;;Mentions proposed US law supposedly permitting spamming;/\bUnder Bill\s?s?.1618(?: Title III)? passed by the 105th U\.S\. Congress\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;382
BLANK_LINES_80_90;body;body;likely;0 # n=0 n=1 n=2 n=3;Message body has 80-90% blank lines;eval:check_blank_line_ratio('80','90','4');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_body_tests.cf;93
BODY_8BITS;body;body;likely;1.500;Body includes 8 consecutive 8-bit characters;eval:check_body_8bits();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_textcat.cf;39
BODY_ENHANCEMENT;body;body;likely;0.927 1.611 0.974 0.001;Information on growing body parts;/\b(?:enlarge|increase|grow|lengthen|larger\b|bigger\b|longer\b|thicker\b|\binches\b).{0,50}\b(?:penis|male organ|pee[ -]?pee|dick|sc?hlong|wh?anger|breast(?!\s+cancer))/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;74
BODY_ENHANCEMENT2;body;body;likely;0.1;Information on getting larger body parts;/\b(?:penis|male organ|pee[ -]?pee|dick|sc?hlong|wh?anger|breast(?!\s+cancer)).{0,50}\b(?:enlarge|increase|grow|lengthen|larger\b|bigger\b|longer\b|thicker\b|\binches\b|size)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;77
CHARSET_FARAWAY;body;body;unlikely;3.200;Character set indicates a foreign language;eval:check_for_faraway_charset();/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_body_tests.cf;113
CHARSET_FARAWAY_HEADER;header;other;unlikely;3.200;A foreign language charset used in headers;eval:check_for_faraway_charset_in_headers();/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;454
CK_HELO_GENERIC;header;other;unknown;0.249 0.248 0.249 0.248;Relay used name indicative of a Dynamic Pool or Generic rPTR;X-Spam-Relays-Untrusted =~ /^[^\]]+helo=(?=\S*(?:pool|dyna|lease|dial|dip|static))\S*\d+[^\d\s]+\d+[^\]]+ auth= /i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;702
CN_B2B_SPAMMER;body;body;likely;;Chinese company introducing itself;/\bWe are (?:(?:a )?(?:China|Taiwan)[-\s]based|(?:one of (?:the )?best|(?:a )?leading) (?:international|[^\.]{10,90} (?:in|from) (?:\w+, )?(?:China|Taiwan)))\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;709
CTYPE_001C_B;header;other;unknown;0.001 0.001 0.001 0.001  # n=1;;"Content-Type =~ /multipart.{0,200}boundary=\""----=_NextPart_000_0000_01C[0-9A-F]{5}\.[0-9A-F]{7}0\""/";/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;829
CUM_SHOT;body;body;likely;0 # n=0 n=1 n=2 n=3;Possible porn - Cum Shot;/\bcum[ -]?shots?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_porn.cf;37
CURR_PRICE;body;body;likely;0.001 # n=0 n=1 n=2 n=3;;/\bCurrent Price:/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;842
DATE_IN_FUTURE_03_06;header;other;unlikely;3.399 2.426 2.997 3.027;Date: is 3 to 6 hours after Received: date;eval:check_for_shifted_date('3', '6');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;535
DATE_IN_FUTURE_06_12;header;other;unlikely;2.899 0.001 2.222 1.947;Date: is 6 to 12 hours after Received: date;eval:check_for_shifted_date('6', '12');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;538
DATE_IN_FUTURE_12_24;header;other;unlikely;2.603 2.489 3.199 3.199;Date: is 12 to 24 hours after Received: date;eval:check_for_shifted_date('12', '24');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;541
DATE_IN_FUTURE_24_48;header;other;unlikely;2.598 1.248 0.001 2.048;Date: is 24 to 48 hours after Received: date;eval:check_for_shifted_date('24', '48');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;544
DATE_IN_FUTURE_48_96;header;other;unlikely;2.384 0.813 1.078 2.181;Date: is 48 to 96 hours after Received: date;eval:check_for_shifted_date('48', '96');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;547
DATE_IN_FUTURE_96_Q;header;other;unlikely;3.999 3.995 3.999 3.995;Date: is 4 days to 4 months after Received: date;eval:check_for_shifted_date('96', '2920');/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;848
DATE_IN_PAST_03_06;header;other;unlikely;2.399 1.076 1.200 1.592;Date: is 3 to 6 hours before Received: date;eval:check_for_shifted_date('-6', '-3');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;519
DATE_IN_PAST_06_12;header;other;unlikely;1.699 1.103 1.274 1.543;Date: is 6 to 12 hours before Received: date;eval:check_for_shifted_date('-12', '-6');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;522
DATE_IN_PAST_12_24;header;other;unlikely;0.001 0.804 1.190 1.049;Date: is 12 to 24 hours before Received: date;eval:check_for_shifted_date('-24', '-12');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;525
DATE_IN_PAST_24_48;header;other;unlikely;1.109 0.485 0.624 1.340;Date: is 24 to 48 hours before Received: date;eval:check_for_shifted_date('-48', '-24');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;528
DATE_IN_PAST_96_XX;header;other;unlikely;2.600 2.070 1.233 3.405;Date: is 96 hours or more before Received: date;eval:check_for_shifted_date('undef', '-96');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;532
DATE_SPAMWARE_Y2K;header;other;unlikely;0 # n=0 n=1 n=2 n=3;Date header uses unusual Y2K formatting;Date =~ /^[A-Z][a-z]{2}, \d\d [A-Z][a-z]{2} [0-6]\d \d\d:\d\d:\d\d [A-Z]{3}$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;146
DCC_CHECK;full;body;likely;0  1.1   0  1.1;Detected as bulk mail by DCC (dcc-servers.net);eval:check_dcc();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dcc.cf;34
DCC_REPUT_00_12;full;body;likely;0 -0.8   0 -0.4;DCC reputation between 0 and 12 %  (mostly ham);eval:check_dcc_reputation_range(00,12);/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dcc.cf;44
DCC_REPUT_13_19;full;body;likely;0 -0.1   0 -0.1;DCC reputation between 13 and 19 %;eval:check_dcc_reputation_range(13,19);/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dcc.cf;50
DCC_REPUT_70_89;full;body;likely;0  0.1   0  0.1;DCC reputation between 70 and 89 %;eval:check_dcc_reputation_range(70,89);/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dcc.cf;56
DCC_REPUT_90_94;full;body;likely;0  0.4   0  0.6;DCC reputation between 90 and 94 %;eval:check_dcc_reputation_range(90,94);/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dcc.cf;62
DCC_REPUT_95_98;full;body;likely;0  0.7   0  1.0;DCC reputation between 95 and 98 %  (mostly spam);eval:check_dcc_reputation_range(95,98);/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dcc.cf;68
DCC_REPUT_99_100;full;body;likely;0  1.2   0  1.4;DCC reputation between 99 % or higher (spam);eval:check_dcc_reputation_range(99);/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dcc.cf;74
DEAR_BENEFICIARY;body;body;likely;2.999 2.523 2.999 2.523;Dear Beneficiary:;/\b(?:De[ae]r\s|At+(?:ention|n):?\s?)(?:\S+\s)?Ben[ei]ficiary\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;865
DEAR_FRIEND;body;body;likely;2.683 2.604 1.801 2.577;Dear Friend? That's not very dear!;/^\s*Dear Friend\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;45
DEAR_SOMETHING;body;body;unlikely;1.999 1.731 1.787 1.973;Contains 'Dear (something)';/\bDear (?:IT\W|Internet|candidate|sirs?|madam|investor|travell?er|car shopper|web)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;47
DEAR_WINNER;body;body;likely;3.099 3.099 2.309 3.099 # n=2;"Spam with generic salutation of ""dear winner""";/\bdear.{1,20}winner/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;871
DIET_1;body;body;likely;0.714 0.000 0.399 0.001;Lose Weight Spam;/\b(?:(?:without|no) (?:exercis(?:e(?! price)|ing)|dieting)|weight.?loss|(?:extra|lose|lost|losing).{0,10}(?:pounds|weight|inches|lbs)|burn.{1,10}fat)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;126
DKIM_ADSP_ALL;header;other;unknown;0 1.1 0 0.8;No valid author signature, domain signs all mail;eval:check_dkim_adsp('A');/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;74
DKIM_ADSP_CUSTOM_HIGH;header;other;unknown;0.001;No valid author signature, adsp_override is CUSTOM_HIGH;eval:check_dkim_adsp('3');/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;89
DKIM_ADSP_CUSTOM_LOW;header;other;unknown;0.001;No valid author signature, adsp_override is CUSTOM_LOW;eval:check_dkim_adsp('1');/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;79
DKIM_ADSP_CUSTOM_MED;header;other;unknown;0.001;No valid author signature, adsp_override is CUSTOM_MED;eval:check_dkim_adsp('2');/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;84
DKIM_ADSP_DISCARD;header;other;unknown;0 1.8 0 1.8;No valid author signature, domain signs all mail and suggests discarding the rest;eval:check_dkim_adsp('D');/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;69
DKIM_ADSP_NXDOMAIN;header;other;unknown;0 0.8 0 0.9;No valid author signature and domain not in DNS;eval:check_dkim_adsp('N');/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;64
DKIM_POLICY_SIGNALL;header;other;unknown;0;;eval:check_dkim_signall();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;129
DKIM_POLICY_SIGNSOME;header;other;unknown;0;;eval:check_dkim_signsome();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;125
DKIM_POLICY_TESTING;header;other;unknown;0;;eval:check_dkim_testing();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;121
DKIM_SIGNED;full;body;likely;0.1;Message has a DKIM or DK signature, not necessarily valid;eval:check_dkim_signed();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;35
DKIM_VALID;full;body;likely;-0.1;Message has at least one valid DKIM or DK signature;eval:check_dkim_valid();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;40
DKIM_VALID_AU;full;body;likely;-0.1;Message has a valid DKIM or DK signature from author's domain;eval:check_dkim_valid_author_sig();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;48
DKIM_VALID_EF;full;body;likely;-0.1;Message has a valid DKIM or DK signature from envelope-from domain;eval:check_dkim_valid_envelopefrom();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;54
DKIM_VERIFIED;full;body;likely;0;;eval:check_dkim_valid();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;117
DMARC_MISSING;header;other;unknown;0.001;Missing DMARC policy;eval:check_dmarc_missing();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dmarc.cf;55
DMARC_NONE;header;other;unknown;0.001 0.898 0.001 0.898 # n=0 n=2;DMARC none policy;eval:check_dmarc_none();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dmarc.cf;49
DMARC_PASS;header;other;unknown;-0.001;DMARC pass policy;eval:check_dmarc_pass();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dmarc.cf;31
DMARC_PERMERROR;header;other;unknown;0.001 0.001 0.001 0.001;DMARC permanent error;eval:check_dmarc_permerror();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dmarc.cf;62
DMARC_QUAR;header;other;unknown;0.001 1.198 0.001 1.198 # n=0 n=2;DMARC quarantine policy;eval:check_dmarc_quarantine();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dmarc.cf;43
DMARC_REJECT;header;other;unknown;0.001 1.797 0.001 1.797 # n=0 n=2;DMARC reject policy;eval:check_dmarc_reject();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dmarc.cf;37
DMARC_TEMPERROR;header;other;unknown;0.001 0.001 0.001 0.001;DMARC temporary error;eval:check_dmarc_temperror();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dmarc.cf;68
DOS_ANAL_SPAM_MAILER;header;other;likely;0 # n=0 n=1 n=2;X-mailer pattern common to anal porn site spam;X-mailer =~ /^[A-Z][a-z]{6}e \d\.\d{2}$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;927
DOS_RCVD_IP_TWICE_C;header;other;likely;2.599 2.060 3.292 0.096;"Received from the same IP twice in a row (only one external relay; empty or IP helo)";X-Spam-Relays-External =~ /^\s*\[ ip=(?!127)([\d.]+) [^\[]*\bhelo=(?:![\d.]{7,15}!)? [^\[]*\[ ip=\1 [^\]]*\]\s*$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;981
DOS_URI_ASTERISK;uri;body;likely;0 # n=0 n=1 n=2 n=3;Found an asterisk in a URI;m{^[Hh][Tt]{2}[Pp][Ss]?://[^/:]+(?:\*[A-Za-z0-9-]*\.|\*)[A-Za-z]{2,3}(?:\.[A-Za-z]{2})?(?:$|:|/)};/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;998
DRUGS_HDIA;header;subject;likely;0 # n=0 n=1 n=2 n=3;"Subject mentions ""hoodia""";Subject =~ /\bhoodia\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;1018
DRUGS_SMEAR1;body;body;likely;3.300 2.051 3.148 0.235 # n=0;Two or more drugs crammed together into one word;/(?:Viagra|Valium|Xanax|Soma|Cialis){2}/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_drugs.cf;259
DRUG_DOSAGE;body;body;likely;0 # n=0 n=1 n=2 n=3;Talks about price per dose;m{[\d\.]+ *\$? *(?:[\\/]|per) *d.?o.?s.?e}i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_drugs.cf;61
DRUG_ED_CAPS;body;body;likely;2.799 1.023 2.516 0.936;Mentions an E.D. drug;/\b(?:CIALIS|LEVITRA|VIAGRA)/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_drugs.cf;65
DRUG_ED_GENERIC;body;body;likely;0 # n=0 n=1 n=2 n=3;Mentions Generic Viagra;/\bGeneric Viagra\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_drugs.cf;72
DRUG_ED_ONLINE;body;body;likely;0.696 1.152 1.221 0.608 # n=0;Fast Viagra Delivery;/\bviagra .{0,25}(?:express|online|overnight)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_drugs.cf;75
DRUG_ED_SILD;body;body;likely;0.001;Talks about an E.D. drug using its chemical name;/\bsildenafil\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_drugs.cf;69
DX_TEXT_02;body;body;likely;;"""change your message stat""";/\b(?:change|modif(?:y|ications?)) (?:of|to|(?:yo)?ur) (?:message|sub|comm) stat/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;1031
DX_TEXT_03;body;body;likely;;"""XXX Media Group""";/\b[A-Z]{3} Media (?:Group|Relations)\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;1038
EMAIL_ROT13;body;body;likely;0 # n=0 n=1 n=2 n=3;Body contains a ROT13-encoded email address;/\b[a-z(\]-]+\^[a-z-]+\([a-z]{2,3}\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_body_tests.cf;66
EMRCP;body;body;likely;;"""Excess Maximum Return Capital Profit"" scam";/\bExcess (?:Maximum )?Return Capital (?:Profits?|Funds?)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;1079
EM_ROLEX;body;body;likely;0.595 1.309 2.068 0.618 # n=0;Message puts emphasis on the watch manufacturer;/[^\s\w.]rolex/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;190
ENGLISH_UCE_SUBJECT;header;subject;likely;0.953 1.542 2.569 2.899 # n=0;Subject contains an English UCE tag;Subject =~ /^[^0-9a-z]*adv(?:ert)?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;204
EXCUSE_24;body;body;likely;;Claims you wanted this ad;/you(?:'ve|'re| have| are)? receiv(?:e|ed|ing) this (?:advertisement|offer|special|recurring|paid).{0,16}\b(?:by either|because)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;1122
EXCUSE_4;body;body;likely;2.399 1.687 2.399 1.325;Claims you can be removed from the list;/To Be Removed,? Please/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;52
EXCUSE_REMOVE;body;body;likely;2.907 2.992 3.299 3.299;Talks about how to be removed from mailings;/to be removed from.{0,20}(?:mailings|offers)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;58
FAKE_OUTBLAZE_RCVD;header;other;unlikely;0 # n=0 n=1 n=2 n=3;Received header contains faked 'mr.outblaze.com';Received =~ /\.mr\.outblaze\.com/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;393
FIN_FREE;body;body;likely;0.1;Freedom of a financial nature;/\bfinancial(?:ly)? (?:free|independen)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;130
FORGED_GMAIL_RCVD;header;other;unlikely;;'From' gmail.com does not match 'Received' headers;eval:check_for_forged_gmail_received_headers();/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;500
FORGED_HOTMAIL_RCVD2;header;other;unlikely;0.001 1.187 0.698 0.874;hotmail.com 'From' address, but no 'Received:';eval:check_for_no_hotmail_received_headers();/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;491
FORGED_TELESP_RCVD;header;other;unlikely;2.499 2.499 2.499 1.841 # n=0;Contains forged hostname for a DSL IP in Brazil;Received =~ /\.(?!br).. \(\d+-\d+-\d+-\d+\.dsl\.telesp\.net\.br /;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;256
FORGED_YAHOO_RCVD;header;other;unlikely;2.397 1.022 2.599 1.630;'From' yahoo.com does not match 'Received' headers;eval:check_for_forged_yahoo_received_headers();/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;496
FORWARD_LOOKING;body;body;likely;0 # n=0 n=1 n=2 n=3;Stock Disclaimer Statement;/\bcontains forward-looking statements\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;133
FRAGMENTED_MESSAGE;header;other;likely;0 # n=0 n=1 n=2;Partial message;Content-Type =~ /\bmessage\/partial/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;32
FREEMAIL_ENVFROM_END_DIGIT;header;other;unknown;0.25;Envelope-from freemail username ends in digit;eval:check_freemail_header('EnvelopeFrom', '\d@');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_freemail.cf;46
FREEMAIL_FROM;header;other;unknown;0.001;Sender email is commonly abused enduser mail provider;eval:check_freemail_from();/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_freemail.cf;42
FREEMAIL_REPLYTO_END_DIGIT;header;other;unknown;0.25;Reply-To freemail username ends in digit;eval:check_freemail_header('Reply-To', '\d@');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_freemail.cf;50
FREE_PORN;body;body;likely;0 # n=0 n=1 n=2 n=3;Possible porn - Free Porn;/\bfree (?:porn|xxx|adult)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_porn.cf;34
FREE_QUOTE_INSTANT;body;body;likely;2.700 2.699 2.699 1.297 # n=2;Free express or no-obligation quote;/free.{0,12}(?:(?:instant|express|online|no.?obligation).{0,4})+.{0,32}\bquote/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;108
FROMSPACE;header;other;unlikely;;"Idiosyncratic ""From"" header format";"From:raw =~ /^\s?\""\s/";/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;68
FROM_BLANK_NAME;header;other;unknown;2.099 2.099 2.099 0.723;From: contains empty name;"From =~ /(?:\s|^)"""" <\S+>/i";/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;38
FROM_DOMAIN_NOVOWEL;header;other;unknown;0.500;From: domain has series of non-vowel letters;From =~ /\@\S*[bcdfgjklmnpqrstvwxz]{7}/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;401
FROM_ILLEGAL_CHARS;header;other;unknown;2.192 2.059 0.240 0.036;From: has too many raw illegal characters;eval:check_illegal_chars('From','0.20','2');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;468
